The leaders at my company keep people informed about what is happening,My manager is a great role model for employees,The leaders at my company have communicated a vision that motivates me,I have access to the things I need to do my job well,I have access to the learning and development I need to do my job well,Most of the systems and processes here support us getting our work done effectively,I know what I need to do to be successful in my role,I receive appropriate recognition when I do good work,Day-to-day decisions here demonstrate that quality and improvement are top priorities,My manager (or someone in management) has shown a genuine interest in my career aspirations,I believe there are good career opportunities for me at this company,This is a great company for me to make a contribution to my development
4,3,1,2,2,1,1,1,1,1,1,3
3,2,2,2,4,3,2,1,1,3,4,2
2,3,4,2,4,3,3,2,1,4,4,1
1,3,1,3,3,3,3,1,2,4,1,3
3,2,1,2,2,4,4,2,1,2,1,3
1,1,3,4,3,4,1,2,4,4,1,4
3,4,3,3,2,3,3,3,2,3,2,3
3,2,3,2,4,2,3,1,2,4,3,3
1,4,1,4,1,4,4,4,3,3,4,4
1,1,3,1,2,1,3,4,3,3,1,2
3,1,4,3,1,3,4,4,2,4,1,1
4,4,1,3,3,2,3,4,3,4,1,1
3,4,2,1,4,1,2,3,2,4,1,2
4,1,1,2,3,2,3,2,3,2,4,4
3,3,2,1,4,3,4,1,4,1,2,4
4,2,2,2,3,1,1,3,1,1,3,1
4,1,2,4,4,2,2,2,1,1,2,1
1,3,2,2,3,3,1,2,4,4,1,2
2,2,2,1,3,1,1,3,2,3,1,1
2,4,4,1,3,3,2,2,4,3,3,2
2,4,3,3,3,2,3,1,2,4,4,4
2,4,3,2,3,2,2,3,1,1,1,3
1,4,1,1,3,2,4,2,4,1,2,1
1,2,2,3,1,2,2,2,4,3,1,3
3,4,3,2,3,2,1,2,1,1,3,2
4,1,2,2,2,4,2,4,3,1,3,1
2,4,4,2,4,2,4,1,1,3,2,4
2,2,4,2,3,3,3,3,1,4,3,3
3,1,2,3,4,3,3,1,2,4,1,4
3,2,2,2,1,3,4,1,4,3,2,4
3,2,4,1,4,3,2,4,4,4,1,3
1,2,4,4,4,2,3,1,1,4,1,2
4,1,1,1,2,4,1,4,1,1,4,4
4,4,4,4,4,2,4,2,2,2,2,1
3,2,3,1,1,3,3,2,3,4,2,2
3,1,2,1,4,4,3,4,4,2,2,2
3,2,3,1,3,3,4,2,3,2,1,4
3,3,1,2,1,2,2,4,4,2,2,3
3,1,4,2,1,2,2,4,4,3,4,4
3,3,1,4,1,1,1,1,4,2,2,3
1,3,2,3,2,4,2,1,3,4,1,4
4,3,2,4,2,3,1,4,2,1,2,3
1,3,1,3,2,4,3,3,2,1,3,1
4,1,1,4,1,3,1,2,1,3,2,4
1,2,4,1,1,3,3,2,2,1,3,3
2,2,1,2,2,2,1,3,3,4,2,3
3,4,4,3,3,1,2,3,4,2,4,4
4,3,4,1,4,1,4,2,2,2,4,2
2,3,1,3,3,2,4,2,4,1,2,2
1,2,3,1,2,1,2,1,1,3,4,1
1,2,3,4,2,2,1,4,1,2,3,1
1,1,3,4,1,3,2,3,1,3,2,2
1,4,3,4,4,3,4,3,3,3,2,2
3,4,4,3,3,3,2,2,4,3,3,1
4,4,3,2,2,3,1,1,4,1,4,1
3,1,2,4,2,4,2,3,4,3,1,4
4,2,2,4,2,4,3,3,4,2,4,4
1,3,4,4,4,4,3,2,2,1,2,2
2,3,4,3,2,4,1,2,4,3,2,3
4,4,2,4,1,1,4,2,3,1,2,3
2,2,2,2,4,1,3,1,2,4,2,3
4,1,1,1,4,3,1,3,3,1,2,1
2,2,1,2,2,2,2,4,4,4,2,2
2,1,3,4,2,3,1,4,2,2,4,3
1,3,4,1,2,4,3,2,1,4,1,4
2,3,2,4,2,3,1,2,4,2,2,1
2,2,2,1,4,4,4,2,1,4,1,1
4,3,2,1,3,4,3,4,3,2,4,3
3,3,2,2,2,3,1,3,3,4,1,3
2,2,1,2,2,4,2,3,1,2,2,4
3,3,4,1,1,1,2,2,2,1,3,4
2,1,4,2,2,2,4,4,3,1,2,3
4,3,2,3,2,1,3,1,4,1,2,4
4,1,3,3,3,4,2,3,1,4,2,2
2,2,4,2,4,4,4,1,3,1,4,4
3,1,3,3,4,2,4,2,2,1,4,2
3,2,3,1,2,1,2,4,2,3,1,2
1,2,3,3,3,4,4,4,4,3,1,3
3,1,2,4,1,2,4,3,3,3,1,2
3,3,4,4,3,3,2,3,1,3,3,1
2,3,4,3,2,4,2,2,3,3,3,2
1,3,4,3,2,4,4,4,3,2,1,2
1,4,2,3,4,1,2,2,4,4,1,3
2,1,3,1,3,4,1,4,3,3,4,3
4,1,1,3,1,1,3,2,1,1,3,2
4,1,4,4,4,4,3,3,4,3,1,3
2,4,3,4,3,2,4,4,3,3,3,1
3,1,1,3,1,4,3,4,4,1,3,2
3,2,4,1,2,1,1,3,2,4,1,2
4,1,4,1,1,3,2,2,4,4,1,4
1,2,3,4,2,1,1,2,1,4,4,2
2,1,2,2,2,2,1,4,2,1,2,4
4,2,2,4,1,4,2,1,2,4,1,2
2,2,4,3,4,1,3,3,4,2,2,2
3,2,4,4,1,1,3,4,1,3,2,3
4,3,3,3,1,4,3,4,2,1,1,3
4,2,1,3,1,3,1,4,3,4,2,2
1,3,3,3,3,1,2,1,1,1,2,3
3,1,2,2,3,4,4,1,4,3,4,1
2,1,4,3,2,3,2,2,4,2,4,4