,Leadership,Leadership,Leadership,Enablement,Enablement,Enablement,Alignment,Alignment,Alignment,Development,Development,Development
Team,The leaders at my company keep people informed about what is happening,My manager is a great role model for employees,The leaders at my company have communicated a vision that motivates me,I have access to the things I need to do my job well,I have access to the learning and development I need to do my job well,Most of the systems and processes here support us getting our work done effectively,I know what I need to do to be successful in my role,I receive appropriate recognition when I do good work,Day-to-day decisions here demonstrate that quality and improvement are top priorities,My manager (or someone in management) has shown a genuine interest in my career aspirations,I believe there are good career opportunities for me at this company,This is a great company for me to make a contribution to my development
Product Engineering,neutral,neutral,neutral,strongly disagree,strongly agree,strongly disagree,neutral,strongly disagree,strongly disagree,disagree,strongly disagree,disagree
Product Engineering,neutral,strongly agree,strongly disagree,disagree,strongly agree,strongly disagree,agree,strongly disagree,disagree,disagree,disagree,disagree
Customer Experience,strongly disagree,disagree,agree,strongly agree,strongly agree,strongly agree,disagree,agree,disagree,disagree,disagree,agree
Customer Experience,neutral,disagree,strongly disagree,neutral,agree,strongly agree,disagree,neutral,disagree,agree,neutral,neutral
Data Engineering,strongly disagree,agree,strongly disagree,strongly agree,strongly agree,agree,agree,agree,agree,strongly disagree,neutral,agree
Data Engineering,strongly disagree,agree,strongly agree,strongly agree,disagree,strongly agree,neutral,strongly disagree,strongly disagree,strongly agree,neutral,disagree
Product Engineering,strongly disagree,neutral,strongly agree,disagree,strongly agree,disagree,strongly disagree,disagree,strongly disagree,strongly disagree,agree,neutral
Customer Experience,agree,strongly agree,disagree,neutral,agree,strongly disagree,strongly agree,strongly disagree,agree,disagree,strongly agree,strongly disagree
Customer Experience,agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,agree,agree,agree,disagree,neutral
Customer Experience,strongly disagree,neutral,strongly agree,agree,strongly agree,disagree,strongly agree,disagree,strongly disagree,agree,strongly disagree,strongly agree
Product Engineering,strongly agree,agree,strongly agree,agree,strongly disagree,disagree,strongly disagree,strongly disagree,neutral,strongly agree,disagree,neutral
Data Engineering,strongly disagree,neutral,strongly disagree,disagree,neutral,agree,agree,strongly disagree,strongly disagree,agree,strongly disagree,strongly disagree
Leadership,strongly disagree,strongly disagree,disagree,agree,disagree,strongly agree,neutral,neutral,neutral,agree,strongly agree,strongly agree
Data Engineering,strongly agree,strongly agree,neutral,strongly agree,strongly disagree,neutral,disagree,neutral,agree,strongly agree,strongly disagree,strongly disagree
Data Engineering,disagree,neutral,neutral,neutral,strongly disagree,disagree,disagree,disagree,neutral,neutral,strongly disagree,disagree
Data Engineering,strongly agree,agree,strongly agree,neutral,disagree,agree,strongly disagree,neutral,neutral,neutral,neutral,neutral
Data Engineering,neutral,disagree,neutral,neutral,strongly agree,strongly agree,strongly disagree,strongly agree,disagree,disagree,strongly agree,strongly agree
Leadership,disagree,disagree,neutral,strongly agree,strongly agree,strongly disagree,neutral,strongly disagree,neutral,neutral,neutral,strongly agree
Product Engineering,strongly agree,agree,strongly agree,strongly disagree,agree,strongly disagree,neutral,neutral,strongly agree,strongly disagree,agree,strongly disagree
Data Engineering,agree,neutral,disagree,neutral,neutral,disagree,neutral,agree,agree,agree,strongly disagree,strongly disagree
Product Engineering,disagree,neutral,strongly disagree,strongly disagree,disagree,strongly disagree,neutral,disagree,agree,disagree,strongly agree,strongly disagree
Product Engineering,disagree,strongly disagree,neutral,disagree,strongly disagree,agree,disagree,neutral,neutral,disagree,disagree,agree
Customer Experience,neutral,agree,neutral,disagree,neutral,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,agree,disagree
Customer Experience,neutral,strongly agree,disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly agree,neutral,disagree,strongly disagree,strongly disagree
Leadership,strongly agree,disagree,disagree,disagree,agree,strongly disagree,strongly agree,neutral,neutral,neutral,strongly agree,agree
Data Engineering,neutral,disagree,neutral,neutral,strongly agree,neutral,strongly disagree,strongly agree,strongly agree,neutral,neutral,strongly agree
Product Engineering,strongly disagree,neutral,strongly disagree,neutral,agree,neutral,strongly disagree,disagree,disagree,agree,agree,strongly agree
Product Engineering,disagree,disagree,strongly agree,strongly agree,disagree,disagree,neutral,agree,agree,strongly disagree,agree,strongly agree
Leadership,strongly agree,disagree,disagree,disagree,strongly agree,disagree,strongly disagree,strongly agree,neutral,disagree,strongly disagree,neutral
Customer Experience,disagree,neutral,agree,neutral,neutral,strongly disagree,neutral,strongly disagree,disagree,agree,strongly disagree,strongly agree
Leadership,disagree,neutral,disagree,agree,disagree,strongly agree,strongly disagree,disagree,agree,agree,strongly disagree,strongly agree
Product Engineering,disagree,neutral,neutral,neutral,disagree,neutral,disagree,strongly agree,strongly disagree,disagree,agree,disagree
Data Engineering,agree,neutral,strongly agree,strongly agree,disagree,neutral,neutral,neutral,neutral,disagree,disagree,disagree
Leadership,neutral,strongly agree,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree,agree,neutral,strongly disagree,strongly agree,agree
Customer Experience,agree,neutral,agree,agree,strongly disagree,disagree,disagree,strongly agree,strongly agree,disagree,disagree,strongly disagree
Product Engineering,agree,disagree,disagree,disagree,agree,strongly disagree,disagree,neutral,neutral,neutral,strongly agree,agree
Product Engineering,strongly agree,strongly agree,strongly agree,neutral,agree,strongly disagree,agree,strongly agree,disagree,disagree,strongly agree,disagree
Data Engineering,strongly disagree,neutral,strongly agree,strongly disagree,neutral,strongly disagree,agree,disagree,strongly disagree,strongly disagree,neutral,neutral
Data Engineering,agree,agree,strongly disagree,disagree,neutral,neutral,agree,strongly disagree,strongly agree,neutral,strongly disagree,strongly agree
Product Engineering,strongly agree,strongly disagree,strongly agree,neutral,strongly disagree,strongly agree,disagree,disagree,disagree,agree,strongly disagree,disagree
Leadership,neutral,disagree,neutral,neutral,agree,neutral,strongly disagree,strongly agree,strongly agree,strongly agree,neutral,strongly agree
Customer Experience,strongly disagree,strongly disagree,strongly agree,agree,agree,strongly disagree,strongly agree,disagree,strongly disagree,disagree,agree,strongly agree
Data Engineering,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree,strongly agree,disagree,neutral,agree,strongly disagree
Leadership,disagree,strongly agree,disagree,agree,neutral,strongly agree,strongly agree,strongly agree,agree,disagree,disagree,neutral
Data Engineering,strongly disagree,strongly disagree,agree,disagree,strongly disagree,strongly disagree,agree,strongly disagree,strongly agree,disagree,disagree,neutral
Customer Experience,strongly disagree,strongly disagree,strongly disagree,strongly agree,agree,strongly disagree,strongly agree,neutral,agree,disagree,strongly disagree,strongly disagree
Customer Experience,strongly disagree,neutral,strongly agree,strongly agree,strongly disagree,agree,agree,disagree,disagree,disagree,strongly disagree,agree
Leadership,disagree,agree,disagree,strongly disagree,agree,strongly agree,agree,strongly agree,disagree,disagree,strongly agree,agree
Leadership,disagree,neutral,strongly agree,strongly disagree,strongly agree,disagree,disagree,disagree,disagree,strongly disagree,strongly disagree,agree
Product Engineering,agree,disagree,strongly agree,neutral,strongly agree,neutral,strongly disagree,strongly agree,strongly agree,strongly agree,disagree,strongly disagree
Customer Experience,agree,strongly agree,disagree,strongly agree,disagree,neutral,strongly disagree,strongly agree,disagree,disagree,neutral,strongly agree
Leadership,neutral,disagree,strongly agree,disagree,neutral,strongly agree,neutral,neutral,strongly disagree,disagree,strongly agree,agree
Product Engineering,strongly disagree,neutral,disagree,neutral,agree,strongly agree,strongly disagree,strongly disagree,agree,neutral,strongly agree,strongly agree
Product Engineering,strongly disagree,strongly agree,disagree,strongly agree,agree,agree,strongly agree,strongly disagree,agree,disagree,disagree,agree
Customer Experience,strongly agree,strongly disagree,neutral,strongly disagree,strongly agree,agree,disagree,strongly disagree,disagree,strongly disagree,strongly agree,disagree
Data Engineering,agree,neutral,strongly agree,strongly agree,agree,agree,neutral,neutral,agree,disagree,neutral,neutral
Data Engineering,strongly disagree,strongly disagree,neutral,agree,agree,strongly disagree,agree,agree,strongly agree,strongly agree,strongly agree,neutral
Product Engineering,strongly agree,neutral,agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,agree,disagree,disagree,strongly disagree,agree
Data Engineering,strongly disagree,neutral,strongly agree,disagree,strongly agree,strongly disagree,neutral,strongly disagree,neutral,neutral,disagree,strongly agree
Customer Experience,disagree,disagree,agree,disagree,disagree,agree,disagree,strongly agree,neutral,neutral,strongly disagree,agree
Customer Experience,strongly agree,disagree,neutral,strongly agree,agree,strongly disagree,agree,neutral,strongly disagree,strongly disagree,agree,neutral
Customer Experience,neutral,agree,strongly disagree,strongly agree,agree,agree,disagree,neutral,strongly agree,agree,strongly disagree,strongly disagree
Data Engineering,strongly agree,strongly agree,neutral,neutral,neutral,strongly agree,strongly disagree,strongly agree,disagree,strongly agree,neutral,neutral
Product Engineering,neutral,disagree,agree,disagree,neutral,strongly disagree,neutral,strongly disagree,disagree,neutral,disagree,disagree
Leadership,strongly disagree,neutral,strongly agree,neutral,strongly agree,agree,strongly agree,agree,strongly disagree,neutral,disagree,agree
Customer Experience,neutral,neutral,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly agree,strongly agree,neutral,strongly agree,strongly disagree
Data Engineering,neutral,agree,neutral,strongly disagree,disagree,strongly disagree,strongly agree,neutral,agree,strongly disagree,disagree,strongly agree
Product Engineering,strongly disagree,disagree,neutral,strongly agree,neutral,neutral,neutral,neutral,strongly agree,neutral,strongly agree,agree
Data Engineering,disagree,agree,strongly agree,strongly agree,neutral,agree,agree,disagree,strongly disagree,neutral,strongly disagree,strongly agree
Customer Experience,disagree,agree,agree,agree,disagree,neutral,strongly agree,strongly agree,agree,strongly agree,strongly disagree,strongly disagree
Customer Experience,strongly disagree,agree,neutral,strongly disagree,strongly disagree,disagree,strongly disagree,neutral,neutral,disagree,agree,neutral
Leadership,disagree,strongly disagree,agree,strongly disagree,disagree,agree,strongly disagree,neutral,disagree,strongly disagree,disagree,agree
Leadership,neutral,neutral,strongly disagree,neutral,strongly agree,strongly agree,disagree,agree,strongly agree,agree,neutral,neutral
Customer Experience,strongly disagree,strongly disagree,strongly agree,strongly agree,neutral,strongly agree,strongly agree,agree,agree,neutral,disagree,disagree
Customer Experience,disagree,agree,disagree,neutral,agree,disagree,disagree,neutral,agree,strongly disagree,agree,disagree
Data Engineering,agree,neutral,agree,strongly agree,strongly agree,agree,neutral,strongly agree,strongly disagree,agree,strongly agree,agree
Product Engineering,agree,neutral,neutral,neutral,neutral,disagree,strongly disagree,neutral,strongly agree,strongly agree,disagree,disagree
Data Engineering,disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,agree,disagree,neutral,disagree,strongly agree,disagree,agree
Customer Experience,neutral,strongly agree,neutral,agree,agree,disagree,disagree,strongly agree,strongly disagree,disagree,strongly disagree,strongly disagree
Customer Experience,agree,disagree,neutral,neutral,disagree,disagree,neutral,neutral,strongly agree,agree,neutral,neutral
Leadership,strongly agree,neutral,strongly disagree,strongly disagree,agree,neutral,strongly disagree,strongly agree,agree,agree,strongly disagree,disagree
Product Engineering,agree,strongly disagree,strongly agree,neutral,strongly disagree,disagree,strongly agree,neutral,disagree,strongly agree,disagree,neutral
Customer Experience,agree,disagree,strongly agree,strongly agree,disagree,neutral,agree,strongly disagree,strongly disagree,neutral,agree,agree
Leadership,strongly disagree,agree,strongly agree,neutral,disagree,neutral,agree,agree,strongly disagree,disagree,disagree,disagree
Leadership,agree,neutral,agree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly disagree,neutral,agree,neutral,neutral
Leadership,disagree,disagree,disagree,strongly agree,disagree,neutral,disagree,agree,agree,strongly agree,strongly agree,agree
Customer Experience,agree,strongly disagree,disagree,strongly agree,neutral,neutral,strongly agree,strongly agree,neutral,agree,strongly disagree,disagree
Leadership,strongly disagree,strongly agree,strongly agree,neutral,disagree,strongly agree,agree,strongly disagree,disagree,disagree,strongly agree,agree
Customer Experience,agree,agree,strongly agree,neutral,disagree,agree,strongly disagree,strongly disagree,agree,strongly disagree,neutral,disagree
Data Engineering,strongly agree,strongly agree,neutral,disagree,agree,strongly disagree,disagree,strongly disagree,agree,agree,strongly disagree,strongly agree
Leadership,agree,strongly disagree,agree,disagree,agree,neutral,disagree,strongly disagree,disagree,strongly agree,agree,strongly agree
Customer Experience,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,disagree,neutral,agree,disagree,disagree
Customer Experience,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,disagree,strongly disagree,strongly agree,strongly disagree,strongly disagree,neutral,disagree
Product Engineering,neutral,disagree,strongly agree,neutral,disagree,neutral,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly agree
Leadership,neutral,strongly disagree,strongly agree,neutral,disagree,strongly agree,agree,strongly disagree,neutral,disagree,neutral,strongly disagree
Customer Experience,disagree,strongly agree,neutral,neutral,disagree,strongly agree,strongly agree,agree,strongly agree,neutral,disagree,agree
Data Engineering,strongly agree,agree,agree,disagree,disagree,disagree,strongly agree,disagree,agree,strongly agree,agree,agree
Data Engineering,strongly disagree,strongly agree,neutral,disagree,agree,agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,disagree
Data Engineering,neutral,neutral,strongly agree,strongly agree,strongly agree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,neutral,strongly agree
Customer Experience,disagree,strongly agree,strongly disagree,neutral,disagree,neutral,agree,disagree,strongly agree,strongly disagree,neutral,agree
